fips,region_id,county_name,adequacy_ratio,deficit_severity,contention_ratio,concentration,net_summer_gen_mw,inbound_thermal_sum,import_proxy_raw,import_proxy,peak_base,existing_load_adj,peak_adj,deliverable,queue_mw_active,contention,operating_dc_load_mw,import_cap_binding,frac_lines_lookup,frac_plants_county_fallback,frac_thermal_status_unknown,n_boundary_lines,n_op_plants,n_operating_dc
51157,bc719500-5807-4d29-8051-5a9a9fc6bb7b,Rappahannock,0.0,-0.5,0.0,0.0,0.0,3200,1600.0,10.169407833428147,20.338815666856295,0.0,20.338815666856295,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,5,0,0
51159,ac4b1d74-2eb8-4ef4-8652-1eea6897bdc0,Richmond,6.191216753246594,6.191216753246594,1.8914188441122428,0.0,178.9,1720,860.0,13.368271167810946,26.73654233562189,0.0,26.73654233562189,165.53172883218906,389.0,50.57,0.0,True,1.0,0.0,0.0,5,6,0
51161,4c8d25a7-960e-40fb-8dea-985a47bab720,Roanoke,0.0,-0.49294062844152997,0.05098435014450541,0.0,1.8,6925,3462.5,127.49010199359196,254.98020398718393,0.0,254.98020398718393,0.0,100.0,13.0,0.0,True,1.0,0.0,0.0,27,2,0
51163,10140e4c-37d7-47ec-bfa1-f92ce283087b,Rockbridge,0.0,-0.38505163305727425,0.48464716873149255,0.0,7.4,6120,3060.0,32.18836507563055,64.3767301512611,0.0,64.3767301512611,0.0,240.0,31.200000000000003,0.0,True,1.0,0.0,0.027777777777777776,15,2,0
51165,31654b5d-30f6-4775-a8fd-0ca3f538bb20,Rockingham,0.0,-0.3217422723745898,0.2608920812303187,0.006826061779966475,45.7,5000,2500.0,128.1851861593168,254.62037231863357,1.75,256.3703723186336,0.0,514.5,66.885,1.75,True,1.0,0.0,0.005,17,8,1
51167,ff411a73-2c82-48a7-afee-b23a3b024662,Russell,6.073121329959288,6.073121329959288,0.0,0.04501159171602556,460.0,4275,2137.5,34.99098654267873,66.83197308535746,3.15,69.98197308535747,425.00901345732126,0.0,0.0,3.15,True,1.0,0.0,0.0,15,2,1
51169,4cb5a1dc-9bac-4026-9ba8-aeaeae824795,Scott,0.0,-0.5,0.0,0.0,0.0,2500,1250.0,28.541112901805697,57.082225803611394,0.0,57.082225803611394,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,9,0,0
51171,6465e29c-c63e-45d8-9637-410b13fcd888,Shenandoah,0.0,-0.3594940690390277,0.23456044758785272,0.0,18.3,295,147.5,65.12180615736109,130.24361231472218,0.0,130.24361231472218,0.0,235.0,30.55,0.0,True,1.0,0.0,0.0847457627118644,3,2,0
51173,2d790de6-e5fb-46cb-ad43-2345f3335ffa,Smyth,0.0,-0.5,0.42403771106162763,0.0,0.0,7425,3712.5,38.32206328846611,76.64412657693222,0.0,76.64412657693222,0.0,250.0,32.5,0.0,True,1.0,0.0,0.0,13,0,0
51175,e66a4b0d-fc28-48e5-8422-3f7911aacd23,Southampton,2.486526256631156,2.486526256631156,0.3621307969392473,0.0,154.6,2685,1342.5,25.8829132435606,51.7658264871212,0.0,51.7658264871212,128.71708675643941,144.2,18.746,0.0,True,1.0,0.0,0.0,7,2,0
51177,b0748068-bbfc-40e8-873b-b23ac42a4147,Spotsylvania,0.6494364421406951,0.6494364421406951,0.2428295028560696,0.019634977613920458,506.9,10080,5040.0,220.4993601281495,432.339720256299,8.659,440.998720256299,286.4006398718505,823.75,107.0875,8.659,True,1.0,0.0,0.0,15,8,2
51179,448c48a5-8f71-461d-a52a-7feb0d2fc97c,Stafford,0.0,-0.4932680601119376,0.0,0.005454911291114784,3.3,4440,2220.0,245.1002277851463,487.5264555702926,2.674,490.2004555702926,0.0,0.0,0.0,2.674,True,1.0,0.0,0.0,7,3,1
51181,f91ef6a4-8bfa-40b2-8114-75445452c3bc,Surry,119.83621094814265,119.83621094814265,5.471839176633357,0.0,2284.3,9900,4950.0,9.491324273889552,18.982648547779103,0.0,18.982648547779103,2274.8086757261103,799.0,103.87,0.0,True,1.0,0.0,0.0,11,10,0
51183,6092b990-0f24-4265-b3cd-09a61d09abe4,Sussex,3.945616179510904,3.945616179510904,11.037836788830646,0.0,138.0,6140,3070.0,15.520908061746168,31.041816123492335,0.0,31.041816123492335,122.47909193825382,2635.65,342.6345,0.0,True,1.0,0.0,0.0,12,2,0
